PERMNO,date,COMNAM,RCRDDT,PRC,VOL,RET,BID,ASK,RETX
86580,2019-03-13,NVIDIA CORP,,168.62000,19215488,0.037534,168.59000,168.63000,0.037534
86580,2019-03-14,NVIDIA CORP,,165.56000,12984030,-0.018147,165.56000,165.58000,-0.018147
86580,2019-03-15,NVIDIA CORP,,169.81000,16535582,0.025670,169.82001,169.88000,0.025670
86580,2019-03-18,NVIDIA CORP,,168.95000,12174729,-0.005064,168.97000,169.00000,-0.005064
86580,2019-03-19,NVIDIA CORP,,175.71001,21370710,0.040012,175.73000,175.75000,0.040012
86580,2019-03-20,NVIDIA CORP,,174.39999,17978715,-0.007456,174.37000,174.39999,-0.007456
86580,2019-03-21,NVIDIA CORP,,183.94000,20606567,0.054702,183.89999,183.94000,0.054702
86580,2019-03-22,NVIDIA CORP,,177.50000,18689787,-0.035011,177.50000,177.53999,-0.035011
86580,2019-03-25,NVIDIA CORP,,173.78000,13129402,-0.020958,173.78000,173.81000,-0.020958
86580,2019-03-26,NVIDIA CORP,,176.87000,17586478,0.017781,176.94000,176.96001,0.017781
86580,2019-03-27,NVIDIA CORP,,176.50000,11858819,-0.002092,176.53000,176.59000,-0.002092
86580,2019-03-28,NVIDIA CORP,,177.25000,12004702,0.004249,177.22000,177.25000,0.004249
86580,2019-03-29,NVIDIA CORP,,179.56000,11421885,0.013032,179.56000,179.58000,0.013032
86580,2019-04-01,NVIDIA CORP,,182.28000,12095512,0.015148,182.31000,182.33000,0.015148
86580,2019-04-02,NVIDIA CORP,,183.00000,11022200,0.003950,182.96001,183.00000,0.003950
86580,2019-04-03,NVIDIA CORP,,188.62000,19719192,0.030710,188.62000,188.63000,0.030710
86580,2019-04-04,NVIDIA CORP,,188.25999,11433819,-0.001909,188.28000,188.33000,-0.001909
86580,2019-04-05,NVIDIA CORP,,190.95000,12043249,0.014289,190.95000,190.98000,0.014289
86580,2019-04-08,NVIDIA CORP,,191.78999,10604354,0.004399,191.77000,191.78000,0.004399
86580,2019-04-09,NVIDIA CORP,,189.25999,10995220,-0.013192,189.28000,189.31000,-0.013192
86580,2019-04-10,NVIDIA CORP,,192.10001,11118907,0.015006,192.11000,192.16000,0.015006
86580,2019-04-11,NVIDIA CORP,,191.53999,9364537,-0.002915,191.50999,191.56000,-0.002915
86580,2019-04-12,NVIDIA CORP,,190.00999,11792364,-0.007988,190.00000,190.00999,-0.007988
86580,2019-04-15,NVIDIA CORP,,184.70000,11002045,-0.027946,184.69000,184.71001,-0.027946
86580,2019-04-16,NVIDIA CORP,,188.21001,9872915,0.019004,188.25999,188.28000,0.019004
86580,2019-04-17,NVIDIA CORP,,187.28999,8780568,-0.004888,187.27000,187.28999,-0.004888
86580,2019-04-18,NVIDIA CORP,,186.30000,9806604,-0.005286,186.28999,186.32001,-0.005286
86580,2019-04-22,NVIDIA CORP,,188.47000,6997777,0.011648,188.45000,188.50000,0.011648
86580,2019-04-23,NVIDIA CORP,,190.67000,8671181,0.011673,190.67000,190.72000,0.011673
86580,2019-04-24,NVIDIA CORP,,191.17000,7955120,0.002622,191.16000,191.17999,0.002622
86580,2019-04-25,NVIDIA CORP,,186.91000,12483537,-0.022284,186.83000,186.84000,-0.022284
86580,2019-04-26,NVIDIA CORP,,178.09000,21721429,-0.047189,178.08000,178.09000,-0.047189
86580,2019-04-29,NVIDIA CORP,,179.33000,9797783,0.006963,179.33000,179.38000,0.006963
86580,2019-04-30,NVIDIA CORP,,181.00000,9072749,0.009312,181.03000,181.10001,0.009312
86580,2019-05-01,NVIDIA CORP,,180.47000,8856731,-0.002928,180.46001,180.48000,-0.002928
86580,2019-05-02,NVIDIA CORP,,183.19000,9863835,0.015072,183.19000,183.21001,0.015072
86580,2019-05-03,NVIDIA CORP,,183.00999,8417487,-0.000983,182.99001,183.00999,-0.000983
86580,2019-05-06,NVIDIA CORP,,179.85001,10552595,-0.017267,179.83000,179.88000,-0.017267
86580,2019-05-07,NVIDIA CORP,,173.11000,13885883,-0.037476,173.19000,173.21001,-0.037476
86580,2019-05-08,NVIDIA CORP,,173.92000,10477854,0.004679,173.88000,173.91000,0.004679
86580,2019-05-09,NVIDIA CORP,,170.19000,16505364,-0.021447,170.19000,170.21001,-0.021447
86580,2019-05-10,NVIDIA CORP,,168.82001,14237351,-0.008050,168.81000,168.84000,-0.008050
86580,2019-05-13,NVIDIA CORP,,158.45000,16421335,-0.061426,158.42000,158.44000,-0.061426
86580,2019-05-14,NVIDIA CORP,,162.03999,13120872,0.022657,162.03000,162.05000,0.022657
86580,2019-05-15,NVIDIA CORP,,159.58000,12556001,-0.015181,159.58000,159.59000,-0.015181
86580,2019-05-16,NVIDIA CORP,,160.19000,19524104,0.003823,160.21001,160.25000,0.003823
86580,2019-05-17,NVIDIA CORP,,156.53000,25548298,-0.022848,156.52000,156.55000,-0.022848
86580,2019-05-20,NVIDIA CORP,,151.75000,14301839,-0.030537,151.67999,151.73000,-0.030537
86580,2019-05-21,NVIDIA CORP,,155.06000,9044347,0.021812,155.09000,155.11000,0.021812
86580,2019-05-22,NVIDIA CORP,,152.20000,8144840,-0.018444,152.19000,152.21001,-0.018444
86580,2019-05-23,NVIDIA CORP,,147.32001,14794809,-0.032063,147.32001,147.37000,-0.032063
86580,2019-05-24,NVIDIA CORP,,145.14999,8935632,-0.014730,145.13000,145.14999,-0.014730
86580,2019-05-28,NVIDIA CORP,,143.33000,10711329,-0.012539,143.31000,143.33000,-0.012539
86580,2019-05-29,NVIDIA CORP,,140.34000,13993727,-0.020861,140.31000,140.34000,-0.020861
86580,2019-05-30,NVIDIA CORP,2019-05-31,139.11000,9854795,-0.007624,139.07001,139.12000,-0.008764
86580,2019-05-31,NVIDIA CORP,,135.46001,9740512,-0.026238,135.42000,135.46001,-0.026238
86580,2019-06-03,NVIDIA CORP,,133.78000,11954680,-0.012402,133.78000,133.78999,-0.012402
86580,2019-06-04,NVIDIA CORP,,143.00000,16042385,0.068919,143.00000,143.03000,0.068919
86580,2019-06-05,NVIDIA CORP,,141.28000,12789485,-0.012028,141.30000,141.33000,-0.012028
86580,2019-06-06,NVIDIA CORP,,143.78000,10202062,0.017695,143.75999,143.78999,0.017695
86580,2019-06-07,NVIDIA CORP,,145.50000,8717917,0.011963,145.47000,145.50000,0.011963
86580,2019-06-10,NVIDIA CORP,,148.42999,10067632,0.020137,148.42999,148.46001,0.020137
86580,2019-06-11,NVIDIA CORP,,150.75000,9596451,0.015630,150.72000,150.75999,0.015630
86580,2019-06-12,NVIDIA CORP,,146.20000,8967798,-0.030182,146.14000,146.19000,-0.030182
86580,2019-06-13,NVIDIA CORP,,148.25999,7698927,0.014090,148.28999,148.31000,0.014090
86580,2019-06-14,NVIDIA CORP,,144.64000,9783371,-0.024417,144.57001,144.58000,-0.024417
86580,2019-06-17,NVIDIA CORP,,145.03000,6909242,0.002696,145.00999,145.03000,0.002696
86580,2019-06-18,NVIDIA CORP,,152.88000,14542650,0.054127,152.88000,152.89999,0.054127
86580,2019-06-19,NVIDIA CORP,,153.12000,8289499,0.001570,153.11000,153.12000,0.001570
86580,2019-06-20,NVIDIA CORP,,154.10001,8749382,0.006400,154.00999,154.10001,0.006400
86580,2019-06-21,NVIDIA CORP,,151.75999,10856970,-0.015185,151.75000,151.75999,-0.015185
86580,2019-06-24,NVIDIA CORP,,152.66000,7071218,0.005930,152.64999,152.67000,0.005930
86580,2019-06-25,NVIDIA CORP,,151.48000,7787761,-0.007730,151.47000,151.48000,-0.007730
86580,2019-06-26,NVIDIA CORP,,159.25999,14595625,0.051360,159.25000,159.25999,0.051360
86580,2019-06-27,NVIDIA CORP,,163.23000,11131838,0.024928,163.22000,163.24001,0.024928
86580,2019-06-28,NVIDIA CORP,,164.23000,9940185,0.006126,164.14999,164.16000,0.006126
86580,2019-07-01,NVIDIA CORP,,166.17000,17787629,0.011813,166.17000,166.20000,0.011813
86580,2019-07-02,NVIDIA CORP,,162.23000,10004888,-0.023711,162.21001,162.23000,-0.023711
86580,2019-07-03,NVIDIA CORP,,162.75000,6160956,0.003205,162.71001,162.75999,0.003205
86580,2019-07-05,NVIDIA CORP,,160.23000,9912447,-0.015484,160.32001,160.33000,-0.015484
86580,2019-07-08,NVIDIA CORP,,157.21001,8244069,-0.018848,157.25000,157.25999,-0.018848
86580,2019-07-09,NVIDIA CORP,,157.31000,8570212,0.000636,157.28000,157.32001,0.000636
86580,2019-07-10,NVIDIA CORP,,160.06000,11300559,0.017481,160.05000,160.06000,0.017481
86580,2019-07-11,NVIDIA CORP,,166.28000,17061824,0.038860,166.27000,166.28000,0.038860
86580,2019-07-12,NVIDIA CORP,,167.61000,12660839,0.007999,167.59000,167.61000,0.007999
86580,2019-07-15,NVIDIA CORP,,167.27000,7245360,-0.002028,167.30000,167.31000,-0.002028
86580,2019-07-16,NVIDIA CORP,,167.08000,8530398,-0.001136,167.07001,167.08000,-0.001136
86580,2019-07-17,NVIDIA CORP,,169.71001,8702921,0.015741,169.69000,169.72000,0.015741
86580,2019-07-18,NVIDIA CORP,,170.17999,11077574,0.002769,170.17000,170.19000,0.002769
86580,2019-07-19,NVIDIA CORP,,168.44000,8621395,-0.010224,168.42000,168.44000,-0.010224
86580,2019-07-22,NVIDIA CORP,,171.32001,7899298,0.017098,171.30000,171.33000,0.017098
86580,2019-07-23,NVIDIA CORP,,175.66000,10698209,0.025333,175.67000,175.70000,0.025333
86580,2019-07-24,NVIDIA CORP,,178.66000,9153637,0.017078,178.67999,178.73000,0.017078
86580,2019-07-25,NVIDIA CORP,,173.38000,9812973,-0.029553,173.30000,173.32001,-0.029553
86580,2019-07-26,NVIDIA CORP,,175.07001,6852497,0.009747,175.03999,175.07001,0.009747
86580,2019-07-29,NVIDIA CORP,,174.82001,6202824,-0.001428,174.81000,174.82001,-0.001428
86580,2019-07-30,NVIDIA CORP,,175.45000,4943061,0.003604,175.45000,175.48000,0.003604
86580,2019-07-31,NVIDIA CORP,,168.72000,8984191,-0.038358,168.69000,168.72000,-0.038358
86580,2019-08-01,NVIDIA CORP,,164.92000,10526714,-0.022523,164.92000,164.95000,-0.022523
86580,2019-08-02,NVIDIA CORP,,161.19000,10706132,-0.022617,161.17000,161.19000,-0.022617
86580,2019-08-05,NVIDIA CORP,,150.78999,14725936,-0.064520,150.72000,150.74001,-0.064520
86580,2019-08-06,NVIDIA CORP,,152.35001,9028867,0.010346,152.34000,152.36000,0.010346
86580,2019-08-07,NVIDIA CORP,,153.89000,9311645,0.010108,153.88000,153.99001,0.010108
86580,2019-08-08,NVIDIA CORP,,158.25999,7730125,0.028397,158.27000,158.31000,0.028397
86580,2019-08-09,NVIDIA CORP,,154.17999,8541018,-0.025780,154.14000,154.17999,-0.025780
86580,2019-08-12,NVIDIA CORP,,151.45000,6973967,-0.017707,151.42000,151.47000,-0.017707
86580,2019-08-13,NVIDIA CORP,,156.05000,9010811,0.030373,156.03999,156.10001,0.030373
86580,2019-08-14,NVIDIA CORP,,150.07001,10493633,-0.038321,150.06000,150.07001,-0.038321
86580,2019-08-15,NVIDIA CORP,,148.77000,13879651,-0.008663,148.78000,148.84000,-0.008663
86580,2019-08-16,NVIDIA CORP,,159.56000,25376628,0.072528,159.49001,159.50000,0.072528
86580,2019-08-19,NVIDIA CORP,,170.78000,20398961,0.070318,170.77000,170.78000,0.070318
86580,2019-08-20,NVIDIA CORP,,167.87000,12186640,-0.017039,167.81000,167.85001,-0.017039
86580,2019-08-21,NVIDIA CORP,,171.23000,10689671,0.020015,171.17000,171.24001,0.020015
86580,2019-08-22,NVIDIA CORP,,171.48000,7587149,0.001460,171.45000,171.46001,0.001460
86580,2019-08-23,NVIDIA CORP,,162.44000,14227537,-0.052717,162.49001,162.53000,-0.052717
86580,2019-08-26,NVIDIA CORP,,165.45000,7962854,0.018530,165.44000,165.50000,0.018530
86580,2019-08-27,NVIDIA CORP,,161.80000,7263082,-0.022061,161.77000,161.78999,-0.022061
86580,2019-08-28,NVIDIA CORP,2019-08-29,161.22000,6393603,-0.002596,161.20000,161.23000,-0.003585
86580,2019-08-29,NVIDIA CORP,,167.00000,8957626,0.035852,166.99001,167.03000,0.035852
86580,2019-08-30,NVIDIA CORP,,167.50999,7270532,0.003054,167.50000,167.50999,0.003054
86580,2019-09-03,NVIDIA CORP,,164.17000,7408270,-0.019939,164.14999,164.17000,-0.019939
86580,2019-09-04,NVIDIA CORP,,168.75999,5699305,0.027959,168.75999,168.82001,0.027959
86580,2019-09-05,NVIDIA CORP,,179.74001,17405725,0.065063,179.73000,179.77000,0.065063
86580,2019-09-06,NVIDIA CORP,,178.64999,9420719,-0.006064,178.61000,178.64999,-0.006064
86580,2019-09-09,NVIDIA CORP,,180.50000,10433033,0.010355,180.42999,180.48000,0.010355
86580,2019-09-10,NVIDIA CORP,,183.17999,8817805,0.014848,183.25000,183.25999,0.014848
86580,2019-09-11,NVIDIA CORP,,184.33000,9034682,0.006278,184.39999,184.42999,0.006278
86580,2019-09-12,NVIDIA CORP,,184.27000,8194925,-0.000325,184.25000,184.27000,-0.000325
86580,2019-09-13,NVIDIA CORP,,181.94000,8112987,-0.012644,181.92000,181.94000,-0.012644
86580,2019-09-16,NVIDIA CORP,,180.21001,5794296,-0.009509,180.20000,180.25000,-0.009509
86580,2019-09-17,NVIDIA CORP,,181.07001,5708738,0.004772,181.00999,181.05000,0.004772
86580,2019-09-18,NVIDIA CORP,,179.98000,6599042,-0.006020,179.97000,180.00000,-0.006020
86580,2019-09-19,NVIDIA CORP,,176.94000,6406169,-0.016891,176.89999,176.98000,-0.016891
86580,2019-09-20,NVIDIA CORP,,172.69000,8928195,-0.024019,172.61000,172.63000,-0.024019
86580,2019-09-23,NVIDIA CORP,,174.84000,6392998,0.012450,174.84000,174.91000,0.012450
86580,2019-09-24,NVIDIA CORP,,172.53000,8029084,-0.013212,172.50999,172.56000,-0.013212
86580,2019-09-25,NVIDIA CORP,,178.23000,7820872,0.033038,178.24001,178.30000,0.033038
86580,2019-09-26,NVIDIA CORP,,177.34000,5943698,-0.004994,177.34000,177.37000,-0.004994
86580,2019-09-27,NVIDIA CORP,,171.75999,9147174,-0.031465,171.75999,171.78999,-0.031465
86580,2019-09-30,NVIDIA CORP,,174.07001,4824834,0.013449,174.00000,174.08000,0.013449
86580,2019-10-01,NVIDIA CORP,,174.00000,9184750,-0.000402,173.92999,173.94000,-0.000402
86580,2019-10-02,NVIDIA CORP,,173.03999,7385994,-0.005517,173.06000,173.11000,-0.005517
86580,2019-10-03,NVIDIA CORP,,181.31000,11561065,0.047792,181.31000,181.33000,0.047792
86580,2019-10-04,NVIDIA CORP,,181.97000,6697005,0.003640,182.00000,182.03999,0.003640
86580,2019-10-07,NVIDIA CORP,,184.33000,12204939,0.012969,184.28999,184.33000,0.012969
86580,2019-10-08,NVIDIA CORP,,177.23000,11232766,-0.038518,177.17999,177.24001,-0.038518
86580,2019-10-09,NVIDIA CORP,,180.71001,7695605,0.019636,180.71001,180.77000,0.019636
