companyid,companyname,dealno,dealid,dealdate,announceddate,dealsize,nativeamountofdeal,dealstatus,dealsizestatus,percentacquired,raisedtodate,vcround,vcroundup_down_flat,totalinvestedcapital,investorownership,stocksplit,dealtype,dealtype2,dealtype3,dealclass,dealsynopsis,nativecurrencyofdeal,totalinvestedequity,addon,addonsponsors,addonplatform,totalnewdebt,debts,debtraisedinround,totalloansize,totalinstloansize,contingentpayout,employees,businessstatus,financingstatus,sitelocation,exitscope,premoneyvaluation,postvaluation,postvaluationstatus,originalregistrationdate,currentregistrationdate,tickersymbol,exchange,fillingrangelow,fillingrangehigh,numberofshares,marketcapendoffirsttradingday,price1dayafteroffering,price5daysafteroffering,price30daysafteroffering,investors,newinvestors,followoninvestors,periodenddate,impliedev,revenue,revenuegrowthsincelastdebtdeal,grossprofit,netincome,ebitda,totaldebt,fiscalyear,debt_ebitda,debt_equity,dealsize_ebitda,valuation_ebitda,impliedev_ebitda,impliedev_ebit,valuation_ebit,valuation_netincome,dealsize_ebit,dealsize_netincome,dealsize_revenue,valuation_revenue,impliedev_revenue,dealsize_cashflow,valuation_cashflow,impliedev_cashflow,impliedev_netincome,ebitdamarginpercent,pitchbookprofilelink,pitchbookcreateddate,rowid,lastupdated
483883-75,Birtelli's,2,227674-45T,2023-02-06,,,,Completed,,,0.68326555,,,,,,Bankruptcy: Admin/Reorg,,,Bankruptcy,"The company entered into administration on February 6, 2023.",British Pounds (GBP),,No,,,,,,,,,,Bankruptcy: Admin/Reorg,Formerly VC-backed,"Birmingham, United Kingdom",VC EXIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/483883-75/company/deals#deal-227674-45T,2023-07-06,40e05855b0133b3f89cb8172c7be0dac1f4e76e7d083c6eed40a79792e6c27a5,2025-09-26
509512-42,iEthico,2,204953-05T,2022-09-27,2022-09-09,0.71323879,0.624728,Completed,Actual,37.65,0.71323879,1st Round,,0.71323879,37.64610297,1:1,Early Stage VC,Series A,,Venture Capital,"The company raised GBP 624,728 of Series A venture funding in a deal led by Midven on September 27, 2022, putting the company's pre-money valuation at GBP 1.03 million. Future Planet Capital, Tiago Galvao, Conduit Connect and other undisclosed investors also participated in the round. The funds will be used to help combat global medicine shortages.",British Pounds (GBP),0.71323879,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Harrogate, United Kingdom",,1.18134999,1.89458878,Actual,,,,,,,,,,,,4,4,,,,,,,,,0,2022,,0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/509512-42/company/deals#deal-204953-05T,2022-09-28,a4ffe3786101bfcc8cdf0a28276606170dc788a5adb1ac195186879f643fe64d,2025-09-26
509512-42,iEthico,3,204953-95T,2022-09-27,2022-09-27,,,Failed/Cancelled,,,,2nd Round,,,,,Early Stage VC,,,Venture Capital,"The company was in talks to receive an undisclosed amount of venture funding on September 27, 2022. Subsequently, the deal was cancelled.",British Pounds (GBP),,No,,,,,,,,,,Generating Revenue,Failed Transaction (VC),"Harrogate, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,0,2022,,0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/509512-42/company/deals#deal-204953-95T,2022-09-28,355dd132229ee2f6155cdb14935c3c3cce382534724f6355e0e5b3c7d9e95ebb,2025-09-26
509512-42,iEthico,4,217575-64T,2022-11-01,,0.05588613,0.049462,Completed,Actual,,0.71323879,,,0.05588613,,,Grant,,,Other,"The company received GBP 49,462 of grant funding from UK Innovation & Science Seed Fund in November 2022.",British Pounds (GBP),,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Harrogate, United Kingdom",,,,,,,,,,,,,,,,1,1,,,,,,,,,0,2022,,0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/509512-42/company/deals#deal-217575-64T,2023-03-06,94edb7cc33d4b592397a305c84963688349e63dfa900cc3bea59187c792b5642,2025-09-26
509512-42,iEthico,5,248594-59T,2024-01-02,,1.64649638,1.3,Completed,Actual,24.43,2.35973518,3rd Round,Up Round,1.64649638,54.37023987,1:1,Early Stage VC,,,Venture Capital,"The company raised GBP 1.3 million through a combination of debt and venture funding on January 2, 2024, putting the company's pre-money valuation at GBP 3.56 million. Equity portion of GBP 1.150205 million was led by Midven with participation from other undisclosed investors. Debt portion of GBP 149,795 was provided by undisclosed lenders.",British Pounds (GBP),1.45677567,No,,,0.18972071,"Other - $0,19M",0.18972071,,,,,Generating Revenue,Venture Capital-Backed,"Harrogate, United Kingdom",,4.50732058,5.96409625,Actual,,,,,,,,,,,,1,,1,,,,,,,,0,2023,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/509512-42/company/deals#deal-248594-59T,2024-01-02,effba70d97f09982fbe93269a17e7af653f7a013f1105c6b275afe64a5b659d7,2025-09-26
509512-42,iEthico,6,248594-86T,,2024-01-02,,,Failed/Cancelled,,,,4th Round,,,,,Early Stage VC,,,Venture Capital,"The company is reportedly seeking venture funding from undisclosed investors. Subsequently, the deal was cancelled.",British Pounds (GBP),,No,,,,,,,,,,Generating Revenue,Failed Transaction (VC),"Harrogate, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/509512-42/company/deals#deal-248594-86T,2024-01-02,f1f9a5fc747f6903057acc915d24cf1a3217d34800c38c757863414dde56bd04,2025-09-26
509512-42,iEthico,1,295998-04T,2022-01-01,,,,Completed,,,,,,,,,Accelerator/Incubator,,,Other,The company joined Grow Digital Health Midlands as a part of its 2022 Cohort. No equity or funding was exchanged as a result of this program.,US Dollars (USD),,No,,,,,,,,,,Startup,Accelerator/Incubator Backed,"Harrogate, United Kingdom",,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/509512-42/company/deals#deal-295998-04T,2025-05-27,f665ade9a4851a51e0e1f6f029a42365302ab2cebc96fbdf6d4814ed09992823,2025-09-26
509512-42,iEthico,7,319934-17T,,,,,Completed,,,2.35973518,,,,,,Accelerator/Incubator,,,Other,The company joined West Midlands Health Tech Innovation Accelerator on an undisclosed date. No equity or funding was exchanged as a result of this program.,US Dollars (USD),,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Coventry, United Kingdom",,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/509512-42/company/deals#deal-319934-17T,2026-01-27,2e82298e6c39f39c2a6248093500f01cbf68cd4cd0ec8cc1497a352a51749158,2026-01-28
517540-42,Medmin,1,212015-62T,2021-07-01,,0.73531025,0.525,Completed,Actual,,0.73531025,,,0.73531025,,,Capitalization,,,Individual,"The company was capitalized with GBP 525,000 in from friends and family in July 2021.",British Pounds (GBP),0.73531025,No,,,,,,,,,,Startup,Corporation,"Birmingham, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/517540-42/company/deals#deal-212015-62T,2023-01-04,9fe94002a8cfbbddd8e6552c151ae24d9b36888aba56ed8a03c6a653139e0254,2026-02-11
517540-42,Medmin,2,228337-57T,2023-07-13,2023-07-13,1.84861343,1.45,Completed,Actual,21.54,2.58392369,1st Round,,1.84861343,21.54157388,1:1,Later Stage VC,,,Venture Capital,"The company raised GBP 1.45 million of venture funding through a combination of debt and equity on July 13, 2023, putting the company's pre-money valuation at GBP 5.00 million. Equity portion of $1.372924 million was raised from Midven, Future Planet Capital and other undisclosed investors. Debt portion of $77,076 was provided by undisclosed lenders. The funds will be used for the growing demand for self-pay private elective surgery and to create 60 new jobs over the next three years will also use investment to complete the technology platform that supports Get Well Soon (GWS), the company's customer-facing brand.",British Pounds (GBP),1.75034879,No,,,0.09826464,"Other - $0,10M",0.09826464,,,,,Generating Revenue,Venture Capital-Backed,"Birmingham, United Kingdom",,6.37509641,8.12544521,Actual,,,,,,,,,,,,2,2,,2023-07-13,,1.81332579,,0.6578723,-0.27570343,-0.2726164,0.0405935,2023,,0,-6.78100606,-29.80541643,,,-29.65428145,-29.47168677,-6.74662146,-6.7050795,1.01946018,4.48096269,,,,,,-15.03405498,https://my.pitchbook.com/profile/517540-42/company/deals#deal-228337-57T,2023-07-14,78cc2acb2766b8fbd79749438f33c40621007b61bffe892cd8f9b5404ba90805,2026-04-01
597493-09,IDenteq,1,259327-00T,2025-09-04,2024-01-10,1.95457021,1.449994,Completed,Actual,23.27,1.95457021,1st Round,,1.95457021,23.2711899,1:1,Later Stage VC,,,Venture Capital,"The company raised GBP 1.45 million of venture funding from Midven and other undisclosed investors on September 4, 2025, putting the company's pre-money valuation at GBP 4.78 million. The funding will be used to diversify product offerings, and enter new markets along with expanding workforce.",British Pounds (GBP),1.95457021,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Stoke-On-Trent, United Kingdom",,6.44452907,8.39909928,Actual,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/597493-09/company/deals#deal-259327-00T,2024-05-14,cd4e66c387a590654c19ed7aae918873bef5780a916eec1dfcecac8e55c3e8e7,2026-02-11
