PERMNO,date,COMNAM,RCRDDT,PRC,VOL,RET,BID,ASK,RETX,ma20,ma60,signal,lagged_signal,buy_hold_position,strategy_return,buy_hold_return,trade,half_spread_one_way,one_way_total_cost,strategy_return_tc,buy_hold_equity,strategy_equity,strategy_equity_tc
86580,2019-01-02,NVIDIA CORP,,136.22,12718070,0.020375,136.22,136.28,0.020375,,,0,0,1,0.0,0.020375,0,0.00022023197768316794,0.0009202319776831679,0.0,1.020375,1.0,1.0
86580,2019-01-03,NVIDIA CORP,,127.99,17638686,-0.060417,127.99,128.07001,-0.060417,,,0,0,1,-0.0,-0.060417,0,0.00031256348152199965,0.0010125634815219998,-0.0,0.9587270036250001,1.0,1.0
86580,2019-01-04,NVIDIA CORP,,136.19,14640383,0.064068,136.19,136.2,0.064068,,,0,0,1,0.0,0.064068,0,3.6713415081837526e-05,0.0007367134150818376,0.0,1.0201507252932467,1.0,1.0
86580,2019-01-07,NVIDIA CORP,,143.39999,17728780,0.052941,143.39999,143.48,0.052941,,,0,0,1,0.0,0.052941,0,0.00027897491485176273,0.0009789749148517628,0.0,1.0741585248409964,1.0,1.0
86580,2019-01-08,NVIDIA CORP,,139.83,19647145,-0.024895,139.81,139.83,-0.024895,,,0,0,1,-0.0,-0.024895,0,7.151541157123018e-05,0.0007715154115712302,-0.0,1.0474173483650797,1.0,1.0
86580,2019-01-09,NVIDIA CORP,,142.58,15430767,0.019667,142.64,142.7,0.019667,,,0,0,1,0.0,0.019667,0,0.00021040819189227896,0.000910408191892279,0.0,1.0680169053553759,1.0,1.0
86580,2019-01-10,NVIDIA CORP,,145.23,13076606,0.018586,145.14,145.2,0.018586,,,0,0,1,0.0,0.018586,0,0.00020656889072506466,0.0009065688907250646,0.0,1.0878670675583109,1.0,1.0
86580,2019-01-11,NVIDIA CORP,,148.83,21867166,0.024788,148.8,148.81,0.024788,,,0,0,1,0.0,0.024788,0,3.3595377276056254e-05,0.0007335953772760563,0.0,1.1148331164289462,1.0,1.0
86580,2019-01-14,NVIDIA CORP,,150.44,18252049,0.010818,150.38,150.39,0.010818,,,0,0,1,0.0,0.010818,0,3.323584153147735e-05,0.0007332358415314774,0.0,1.1268933810824746,1.0,1.0
86580,2019-01-15,NVIDIA CORP,,149.87,15425251,-0.003789,149.86,149.89,-0.003789,,,0,0,1,-0.0,-0.003789,0,0.00010008674184283951,0.0008000867418428395,-0.0,1.122623582061553,1.0,1.0
86580,2019-01-16,NVIDIA CORP,,148.84,11752492,-0.006873,148.83,148.84,-0.006873,,,0,0,1,-0.0,-0.006873,0,3.359312012896703e-05,0.000733593120128967,-0.0,1.1149077901820441,1.0,1.0
86580,2019-01-17,NVIDIA CORP,,151.72,12333905,0.01935,151.72,151.77,0.01935,,,0,0,1,0.0,0.01935,0,0.0001647772211969792,0.0008647772211969792,0.0,1.1364812559220667,1.0,1.0
86580,2019-01-18,NVIDIA CORP,,156.92999,16283423,0.03434,156.92999,156.94,0.03434,,,0,0,1,0.0,0.03434,0,3.189320282246268e-05,0.0007318932028224627,0.0,1.1755080222504306,1.0,1.0
86580,2019-01-22,NVIDIA CORP,,148.77,16538676,-0.051998,148.81,148.87,-0.051998,,,0,0,1,-0.0,-0.051998,0,0.00020165355918532724,0.0009016535591853273,-0.0,1.1143839561094526,1.0,1.0
86580,2019-01-23,NVIDIA CORP,,149.28999,14765345,0.003495,149.3,149.35001,0.003495,,,0,0,1,0.0,0.003495,0,0.00016749281046902784,0.0008674928104690278,0.0,1.118278728036055,1.0,1.0
86580,2019-01-24,NVIDIA CORP,,157.84,17728235,0.057271,157.77,157.83,0.057271,,,0,0,1,0.0,0.057271,0,0.0001900658895083701,0.0008900658895083701,0.0,1.1823236690694081,1.0,1.0
86580,2019-01-25,NVIDIA CORP,,160.14999,28880047,0.014635,160.14,160.16,0.014635,,,0,0,1,0.0,0.014635,0,6.24414650291587e-05,0.0007624414650291587,0.0,1.1996269759662388,1.0,1.0
86580,2019-01-28,NVIDIA CORP,,138.00999,62785169,-0.138245,137.92,137.92999,-0.138245,,,0,0,1,-0.0,-0.138245,0,3.6193032113168594e-05,0.0007361930321131686,-0.0,1.033784544673786,1.0,1.0
86580,2019-01-29,NVIDIA CORP,,131.60001,28842047,-0.046446,131.56,131.59,-0.046446,,,0,0,1,-0.0,-0.046446,0,0.00011398175425670992,0.0008139817542567099,-0.0,0.9857693877118675,1.0,1.0
86580,2019-01-30,NVIDIA CORP,,137.39,24360054,0.043997,137.41,137.46001,0.043997,,,0,0,1,0.0,0.043997,0,0.0001820001455710552,0.0008820001455710552,0.0,1.0291402834630266,1.0,1.0
86580,2019-01-31,NVIDIA CORP,,143.75,21070338,0.046292,143.74001,143.75,0.046292,,,0,0,1,0.0,0.046292,0,3.4747826086913845e-05,0.0007347478260869138,0.0,1.076781245465097,1.0,1.0
86580,2019-02-01,NVIDIA CORP,,144.73,15624675,0.006817,144.72,144.75,0.006817,,,0,0,1,0.0,0.006817,0,0.00010364126304152954,0.0008036412630415295,0.0,1.0841216632154325,1.0,1.0
86580,2019-02-04,NVIDIA CORP,,149.17999,13214918,0.030747,149.19,149.2,0.030747,,,0,0,1,0.0,0.030747,0,3.351655942593542e-05,0.0007335165594259354,0.0,1.1174551519943174,1.0,1.0
86580,2019-02-05,NVIDIA CORP,,149.95,13506207,0.005162,149.94,149.95,0.005162,,,0,0,1,0.0,0.005162,0,3.33444481493528e-05,0.0007333444481493528,0.0,1.123223455488912,1.0,1.0
86580,2019-02-06,NVIDIA CORP,,153.0,17561347,0.02034,152.99001,153.0,0.02034,,,0,0,1,0.0,0.02034,0,3.2647058823489314e-05,0.0007326470588234893,0.0,1.1460698205735564,1.0,1.0
86580,2019-02-07,NVIDIA CORP,,147.42,15927600,-0.036471,147.41,147.42,-0.036471,,,0,0,1,-0.0,-0.036471,0,3.3916700583336405e-05,0.0007339167005833364,-0.0,1.1042715081474181,1.0,1.0
86580,2019-02-08,NVIDIA CORP,,148.17,11540037,0.005088,148.2,148.24001,0.005088,,,0,0,1,0.0,0.005088,0,0.00013501383545934953,0.0008350138354593495,0.0,1.1098900415808721,1.0,1.0
86580,2019-02-11,NVIDIA CORP,,146.45,12379115,-0.011608,146.42999,146.45,-0.011608,,,0,0,1,-0.0,-0.011608,0,6.831683168311706e-05,0.000768316831683117,-0.0,1.0970064379782014,1.0,1.0
86580,2019-02-12,NVIDIA CORP,,151.17,14776046,0.032229,151.14,151.17,0.032229,,,0,0,1,0.0,0.032229,0,9.92260369120895e-05,0.0007992260369120895,0.0,1.132361858467801,1.0,1.0
86580,2019-02-13,NVIDIA CORP,,152.88,15133702,0.011312,152.87,152.91,0.011312,,,0,0,1,0.0,0.011312,0,0.00013082155939296195,0.000830821559392962,0.0,1.1451711358107888,1.0,1.0
86580,2019-02-14,NVIDIA CORP,,154.53,20681074,0.010793,154.53,154.56,0.010793,,,0,0,1,0.0,0.010793,0,9.706853038245368e-05,0.0007970685303824537,0.0,1.1575309678795946,1.0,1.0
86580,2019-02-15,NVIDIA CORP,,157.34,37917734,0.018184,157.3,157.34,0.018184,,,0,0,1,0.0,0.018184,0,0.000127113257912775,0.000827113257912775,0.0,1.1785795109995172,1.0,1.0
86580,2019-02-19,NVIDIA CORP,,156.64,13794766,-0.004449,156.62,156.64,-0.004449,,,0,0,1,-0.0,-0.004449,0,6.384065372823612e-05,0.0007638406537282362,-0.0,1.1733360107550803,1.0,1.0
86580,2019-02-20,NVIDIA CORP,,158.55,13524537,0.012194,158.53999,158.57001,0.012194,,,0,0,1,0.0,0.012194,0,9.467045096186529e-05,0.0007946704509618653,0.0,1.1876436700702278,1.0,1.0
86580,2019-02-21,NVIDIA CORP,,155.77,11212568,-0.017534,155.8,155.82001,-0.017534,,,0,0,1,-0.0,-0.017534,0,6.422931244779155e-05,0.0007642293124477915,-0.0,1.1668195259592162,1.0,1.0
86580,2019-02-22,NVIDIA CORP,,159.19,10042631,0.021955,159.21001,159.22,0.021955,,,0,0,1,0.0,0.021955,0,3.137759909538203e-05,0.000731377599095382,0.0,1.1924370486516507,1.0,1.0
86580,2019-02-25,NVIDIA CORP,,158.69,16399681,-0.003141,158.64999,158.7,-0.003141,,,0,0,1,-0.0,-0.003141,0,0.0001575713655554418,0.0008575713655554418,-0.0,1.1886916038818358,1.0,1.0
86580,2019-02-26,NVIDIA CORP,,157.10001,12211371,-0.01002,157.11,157.14,-0.01002,,,0,0,1,-0.0,-0.01002,0,9.548057953647716e-05,0.0007954805795364772,-0.0,1.1767809140109398,1.0,1.0
86580,2019-02-27,NVIDIA CORP,,155.41,12505881,-0.010757,155.39,155.42,-0.010757,,,0,0,1,-0.0,-0.010757,0,9.651888552860543e-05,0.0007965188855286054,-0.0,1.164122281718924,1.0,1.0
86580,2019-02-28,NVIDIA CORP,2019-03-01,154.25999,8122565,-0.00637,154.28,154.32001,-0.0074,148.88249875,,0,0,1,-0.0,-0.00637,0,0.00012968365938567484,0.0008296836593856749,-0.0,1.1567068227843746,1.0,1.0
86580,2019-03-01,NVIDIA CORP,,156.45,8929478,0.014197,156.42999,156.44,0.014197,149.38824875,,0,0,1,0.0,0.014197,0,3.199105145411978e-05,0.0007319910514541198,0.0,1.1731285895474444,1.0,1.0
86580,2019-03-04,NVIDIA CORP,,156.78,10277775,0.002109,156.78,156.8,0.002109,150.10799875,,0,0,1,0.0,0.002109,0,6.378364587323075e-05,0.0007637836458732307,0.0,1.1756027177428,1.0,1.0
86580,2019-03-05,NVIDIA CORP,,156.52,9073119,-0.001658,156.49001,156.50999,-0.001658,150.61624875,,0,0,1,-0.0,-0.001658,0,6.382570917446799e-05,0.0007638257091744679,-0.0,1.1736535684367824,1.0,1.0
86580,2019-03-06,NVIDIA CORP,,152.05,10087049,-0.028559,152.00999,152.05,-0.028559,150.83249899999998,,0,0,1,-0.0,-0.028559,0,0.00013156856297278407,0.000831568562972784,-0.0,1.1401351961757964,1.0,1.0
86580,2019-03-07,NVIDIA CORP,,149.25999,11252248,-0.018349,149.24001,149.25999,-0.018349,151.06824875,,0,0,1,-0.0,-0.018349,0,6.693019341611728e-05,0.0007669301934161173,-0.0,1.1192148554611667,1.0,1.0
86580,2019-03-08,NVIDIA CORP,,150.64,10559751,0.009246,150.64,150.67999,0.009246,151.26974875,,0,0,1,0.0,0.009246,0,0.00013273366967610627,0.0008327336696761062,0.0,1.1295631160147608,1.0,1.0
86580,2019-03-11,NVIDIA CORP,,161.14,21491572,0.069703,161.09,161.14,0.069703,151.66749875,,0,0,1,0.0,0.069703,0,0.00015514459476226558,0.0008551445947622655,0.0,1.2082970538903377,1.0,1.0
86580,2019-03-12,NVIDIA CORP,,162.52,14488768,0.008564,162.50999,162.55,0.008564,152.00974875,,0,0,1,0.0,0.008564,0,0.0001230925424563858,0.0008230925424563858,0.0,1.2186449098598546,1.0,1.0
86580,2019-03-13,NVIDIA CORP,,168.62,19215488,0.037534,168.59,168.63,0.037534,152.46424874999997,,0,0,1,0.0,0.037534,0,0.00011860989206497463,0.0008186098920649746,0.0,1.2643855279065344,1.0,1.0
86580,2019-03-14,NVIDIA CORP,,165.56,12984030,-0.018147,165.56,165.58,-0.018147,152.85649875,,0,0,1,-0.0,-0.018147,0,6.040106305874073e-05,0.0007604010630587407,-0.0,1.2414407237316145,1.0,1.0
86580,2019-03-15,NVIDIA CORP,,169.81,16535582,0.02567,169.82001,169.88,0.02567,153.38074875,,0,0,1,0.0,0.02567,0,0.00017663859607796684,0.0008766385960779668,0.0,1.2733085071098051,1.0,1.0
86580,2019-03-18,NVIDIA CORP,,168.95,12174729,-0.005064,168.97,169.0,-0.005064,153.81149875,,0,0,1,-0.0,-0.005064,0,8.87836638058631e-05,0.0007887836638058631,-0.0,1.2668604728298012,1.0,1.0
86580,2019-03-19,NVIDIA CORP,,175.71001,21370710,0.040012,175.73,175.75,0.040012,154.28099924999998,,0,0,1,0.0,0.040012,0,5.691195396326661e-05,0.0007569119539632666,0.0,1.317550094068667,1.0,1.0
86580,2019-03-20,NVIDIA CORP,,174.39999,17978715,-0.007456,174.37,174.39999,-0.007456,154.921749,,0,0,1,-0.0,-0.007456,0,8.59805095172252e-05,0.0007859805095172252,-0.0,1.307726440567291,1.0,1.0
86580,2019-03-21,NVIDIA CORP,,183.94,20606567,0.054702,183.89999,183.94,0.054702,155.78799925,,0,0,1,0.0,0.054702,0,0.0001087582907469697,0.0008087582907469697,0.0,1.379261692319203,1.0,1.0
