PERMNO,date,COMNAM,RCRDDT,PRC,VOL,RET,BID,ASK,RETX,ma20,ma60,signal,lagged_signal,buy_hold_position,strategy_return,buy_hold_return,trade,half_spread_one_way,one_way_total_cost,strategy_return_tc,buy_hold_equity,strategy_equity,strategy_equity_tc,fold_id,selected_short,selected_long,wf_strategy_equity_tc,wf_buy_hold_equity
86580,2020-12-31,NVIDIA CORP,,522.20001,4795259,-0.006903,522.10999,522.12,-0.006903,,,0,0,1,-0.0,-0.006903,0,9.584450218572054e-06,0.000709584450218572,-0.0,0.993097,1.0,1.0,0,40,150,1.0,0.993097
86580,2021-01-04,NVIDIA CORP,,524.53998,13974054,0.004481,524.53998,524.73999,0.004481,,,0,0,1,0.0,0.004481,0,0.0001906527696897577,0.0008906527696897577,0.0,0.997547067657,1.0,1.0,0,40,150,1.0,0.997547067657
86580,2021-01-05,NVIDIA CORP,,536.19,8052844,0.02221,536.23999,536.46997,0.02221,,,0,0,1,0.0,0.02221,0,0.00021445756168518153,0.0009144575616851816,0.0,1.019702588029662,1.0,1.0,0,40,150,1.0,1.019702588029662
86580,2021-01-06,NVIDIA CORP,,504.57999,14480507,-0.058953,504.51001,504.95999,-0.058953,,,0,0,1,-0.0,-0.058953,0,0.000445895605174496,0.001145895605174496,-0.0,0.9595880613575493,1.0,1.0,0,40,150,1.0,0.9595880613575493
86580,2021-01-07,NVIDIA CORP,,533.76001,11524058,0.05783,533.65997,533.82001,0.05783,,,0,0,1,0.0,0.05783,0,0.00014991756313851695,0.000849917563138517,0.0,1.0150810389458564,1.0,1.0,0,40,150,1.0,1.0150810389458564
86580,2021-01-08,NVIDIA CORP,,531.07001,7280313,-0.00504,530.84003,531.15997,-0.00504,,,0,0,1,-0.0,-0.00504,0,0.00030122205544998463,0.0010012220554499846,-0.0,1.0099650305095693,1.0,1.0,0,40,150,1.0,1.0099650305095693
86580,2021-01-11,NVIDIA CORP,,544.85999,12955854,0.025966,544.53003,544.83002,0.025966,,,0,0,1,0.0,0.025966,0,0.00027529090546727405,0.000975290905467274,0.0,1.0361897824917807,1.0,1.0,0,40,150,1.0,1.0361897824917807
86580,2021-01-12,NVIDIA CORP,,539.39001,7259268,-0.010039,539.09998,539.40002,-0.010039,,,0,0,1,-0.0,-0.010039,0,0.0002781289924150439,0.000978128992415044,-0.0,1.0257874732653458,1.0,1.0,0,40,150,1.0,1.0257874732653458
86580,2021-01-13,NVIDIA CORP,,541.27002,5240714,0.003485,540.97998,541.22998,0.003485,,,0,0,1,0.0,0.003485,0,0.00023093834016522843,0.0009309383401652284,0.0,1.0293623426096754,1.0,1.0,0,40,150,1.0,1.0293623426096754
86580,2021-01-14,NVIDIA CORP,,528.01001,7038473,-0.024498,527.83002,528.01001,-0.024498,,,0,0,1,-0.0,-0.024498,0,0.000170441844464251,0.000870441844464251,-0.0,1.0041450239404235,1.0,1.0,0,40,150,1.0,1.0041450239404235
86580,2021-01-15,NVIDIA CORP,,514.38,6878442,-0.025814,514.37,514.53003,-0.025814,,,0,0,1,-0.0,-0.025814,0,0.00015555620358490428,0.0008555562035849043,-0.0,0.9782240242924254,1.0,1.0,0,40,150,1.0,0.9782240242924254
86580,2021-01-19,NVIDIA CORP,,521.01001,5638798,0.012889,520.79999,521.01001,0.012889,,,0,0,1,0.0,0.012889,0,0.00020155083008864446,0.0009015508300886445,0.0,0.9908323537415303,1.0,1.0,0,40,150,1.0,0.9908323537415303
86580,2021-01-20,NVIDIA CORP,,534.63,6426371,0.026142,534.52002,534.56,0.026142,,,0,0,1,0.0,0.026142,0,3.7390344724295705e-05,0.0007373903447242958,0.0,1.0167346931330414,1.0,1.0,0,40,150,1.0,1.0167346931330414
86580,2021-01-21,NVIDIA CORP,,554.70001,8447797,0.03754,554.42999,554.70001,0.03754,,,0,0,1,0.0,0.03754,0,0.0002433928205626362,0.0009433928205626362,0.0,1.0549029135132557,1.0,1.0,0,40,150,1.0,1.0549029135132557
86580,2021-01-22,NVIDIA CORP,,548.5,6148664,-0.011177,548.25,548.5,-0.011177,,,0,0,1,-0.0,-0.011177,0,0.00022789425706472196,0.0009278942570647219,-0.0,1.043112263648918,1.0,1.0,0,40,150,1.0,1.043112263648918
86580,2021-01-25,NVIDIA CORP,,546.13,6242149,-0.004321,546.21997,546.39001,-0.004321,,,0,0,1,-0.0,-0.004321,0,0.00015567721970956712,0.0008556772197095671,-0.0,1.0386049755576912,1.0,1.0,0,40,150,1.0,1.0386049755576912
86580,2021-01-26,NVIDIA CORP,,537.40997,4088902,-0.015967,537.37,537.41998,-0.015967,,,0,0,1,-0.0,-0.015967,0,4.650081203369284e-05,0.0007465008120336929,-0.0,1.0220215699129616,1.0,1.0,0,40,150,1.0,1.0220215699129616
86580,2021-01-27,NVIDIA CORP,,516.71002,9172906,-0.038518,516.57001,517.04999,-0.038518,,,0,0,1,-0.0,-0.038518,0,0.00046445780168919023,0.0011644578016891903,-0.0,0.982655343083054,1.0,1.0,0,40,150,1.0,0.982655343083054
86580,2021-01-28,NVIDIA CORP,,522.03998,5668869,0.010315,521.76001,522.03998,0.010315,,,0,0,1,0.0,0.010315,0,0.00026814996046859135,0.0009681499604685913,0.0,0.9927914329469558,1.0,1.0,0,40,150,1.0,0.9927914329469558
86580,2021-01-29,NVIDIA CORP,,519.59003,6738479,-0.004693,519.03998,519.38,-0.004693,,,0,0,1,-0.0,-0.004693,0,0.00032720027364649526,0.0010272002736464953,-0.0,0.9881322627521358,1.0,1.0,0,40,150,1.0,0.9881322627521358
86580,2021-02-01,NVIDIA CORP,,529.47998,5424799,0.019034,529.09998,529.48999,0.019034,,,0,0,1,0.0,0.019034,0,0.0003682953225163252,0.0010682953225163252,0.0,1.00694037224136,1.0,1.0,0,40,150,1.0,1.00694037224136
86580,2021-02-02,NVIDIA CORP,,542.27002,5498807,0.024156,541.92999,542.28003,0.024156,,,0,0,1,0.0,0.024156,0,0.0003227543355614933,0.0010227543355614934,0.0,1.0312640238732222,1.0,1.0,0,40,150,1.0,1.0312640238732222
86580,2021-02-03,NVIDIA CORP,,541.21997,6183400,-0.001936,541.02002,541.12,-0.001936,,,0,0,1,-0.0,-0.001936,0,9.236540181615947e-05,0.0007923654018161595,-0.0,1.0292674967230035,1.0,1.0,0,40,150,1.0,1.0292674967230035
86580,2021-02-04,NVIDIA CORP,,546.57001,4989198,0.009885,546.57001,546.75,0.009885,,,0,0,1,0.0,0.009885,0,0.0001646541126542739,0.0008646541126542739,0.0,1.0394418059281103,1.0,1.0,0,40,150,1.0,1.0394418059281103
86580,2021-02-05,NVIDIA CORP,,543.64001,4215891,-0.005361,543.34003,543.65997,-0.005361,,,0,0,1,-0.0,-0.005361,0,0.0002942572236359938,0.000994257223635994,-0.0,1.0338693584065297,1.0,1.0,0,40,150,1.0,1.0338693584065297
86580,2021-02-08,NVIDIA CORP,,577.54999,10824408,0.062376,577.51001,577.54999,0.062376,,,0,0,1,0.0,0.062376,0,3.4611722528134854e-05,0.0007346117225281349,0.0,1.0983579935064953,1.0,1.0,0,40,150,1.0,1.0983579935064953
86580,2021-02-09,NVIDIA CORP,,570.53003,7156910,-0.012155,570.25,570.53003,-0.012155,,,0,0,1,-0.0,-0.012155,0,0.00024541214771815837,0.0009454121477181584,-0.0,1.0850074520954238,1.0,1.0,0,40,150,1.0,1.0850074520954238
86580,2021-02-10,NVIDIA CORP,,590.57001,12082346,0.035125,590.57001,590.78998,0.035125,,,0,0,1,0.0,0.035125,0,0.00018623532881392786,0.0008862353288139279,0.0,1.1231183388502757,1.0,1.0,0,40,150,1.0,1.1231183388502757
86580,2021-02-11,NVIDIA CORP,,610.03003,11247439,0.032951,610.03003,610.21002,0.032951,,,0,0,1,0.0,0.032951,0,0.000147525524276219,0.000847525524276219,0.0,1.1601262112337312,1.0,1.0,0,40,150,1.0,1.1601262112337312
86580,2021-02-12,NVIDIA CORP,,598.45001,9352977,-0.018983,598.44,598.67999,-0.018983,,,0,0,1,-0.0,-0.018983,0,0.00020050964657843405,0.000900509646578434,-0.0,1.1381035353658813,1.0,1.0,0,40,150,1.0,1.1381035353658813
86580,2021-02-16,NVIDIA CORP,,613.21002,8027508,0.024664,612.85999,613.21002,0.024664,,,0,0,1,0.0,0.024664,0,0.0002854079259826405,0.0009854079259826406,0.0,1.1661737209621454,1.0,1.0,0,40,150,1.0,1.1661737209621454
86580,2021-02-17,NVIDIA CORP,,596.23999,6880208,-0.027674,596.08002,596.23999,-0.027674,,,0,0,1,-0.0,-0.027674,0,0.00013414900265247548,0.0008341490026524755,-0.0,1.133901029408239,1.0,1.0,0,40,150,1.0,1.133901029408239
86580,2021-02-18,NVIDIA CORP,,593.15997,5910059,-0.005166,592.77002,593.15997,-0.005166,,,0,0,1,-0.0,-0.005166,0,0.00032870559353491007,0.0010287055935349102,-0.0,1.128043296690316,1.0,1.0,0,40,150,1.0,1.128043296690316
86580,2021-02-19,NVIDIA CORP,,597.06,6775722,0.006575,597.06,597.32001,0.006575,,,0,0,1,0.0,0.006575,0,0.00021774193548393744,0.0009177419354839374,0.0,1.1354601813660548,1.0,1.0,0,40,150,1.0,1.1354601813660548
86580,2021-02-22,NVIDIA CORP,,574.22998,8117282,-0.038237,574.22998,574.66998,-0.038237,,,0,0,1,-0.0,-0.038237,0,0.0003831217589858811,0.0010831217589858811,-0.0,1.092043590411161,1.0,1.0,0,40,150,1.0,1.092043590411161
