short_window,long_window,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,number_of_trades,avg_daily_turnover,trades_per_year,max_drawdown_penalty,objective_score
40.0,150.0,37.21084331970236,0.8367372720947082,0.38788459872082864,2.15718096272477,-0.37551817374619123,6.0,0.003973509933774834,1.0013245033112583,0.37551817374619123,1.8818038333114924
30.0,150.0,24.22584654008322,0.7137616356085792,0.3811383961186765,1.8727098683238739,-0.37551817374619123,10.0,0.006622516556291391,1.6688741721854305,0.37551817374619123,1.5639552554668876
20.0,150.0,23.36976491223948,0.7039154394547538,0.3816003290184733,1.8446405464725824,-0.3755181737461911,10.0,0.006622516556291391,1.6688741721854305,0.3755181737461911,1.535885933615596
40.0,120.0,23.758115975711924,0.7084171774230303,0.3927605721410207,1.803687100162063,-0.40213934992733835,7.0,0.004635761589403974,1.1682119205298014,0.40213934992733835,1.5039928941791698
20.0,120.0,22.165823254162824,0.6895689277697368,0.3885894122488376,1.774543788465764,-0.37551817374619123,11.0,0.00728476821192053,1.8357615894039736,0.37551817374619123,1.4574448047478508
10.0,150.0,20.253908137780193,0.6654547315800685,0.38022373163075895,1.7501662211508189,-0.4226389596212836,14.0,0.009271523178807948,2.3364238410596028,0.4226389596212836,1.3797616533250685
30.0,120.0,19.297900561546392,0.652711848646139,0.3891535746143789,1.677260318867496,-0.375518173746191,11.0,0.00728476821192053,1.8357615894039736,0.375518173746191,1.3601613351495827
40.0,90.0,15.597961230452139,0.598128827111192,0.4007369463287235,1.492572203763185,-0.44511678714264025,17.0,0.011258278145695364,2.8370860927152317,0.44511678714264025,1.0836478268418392
30.0,90.0,11.713923189658551,0.528587724288176,0.39936801691555196,1.3235604803074357,-0.5019646867591735,21.0,0.01390728476821192,3.504635761589404,0.5019646867591735,0.8471498801724613
10.0,120.0,8.367634411324913,0.45262264480712977,0.37671970431033514,1.2014838608873697,-0.4638297580926054,21.0,0.01390728476821192,3.504635761589404,0.4638297580926054,0.7479542179523362
10.0,60.0,9.339170259534292,0.4767429157267833,0.3984054775679963,1.1966274124467002,-0.46505300462120014,34.0,0.022516556291390728,5.674172185430463,0.46505300462120014,0.633887000402457
20.0,90.0,8.316734153491488,0.45130240872385197,0.3943736549858567,1.1443523242951836,-0.5944977152676199,21.0,0.01390728476821192,3.504635761589404,0.5944977152676199,0.6124219070551415
40.0,60.0,10.230502638743836,0.4972640895527949,0.4094068363442399,1.214596448835755,-0.6524884991573325,27.0,0.017880794701986755,4.505960264900662,0.6524884991573325,0.5978053360963225
30.0,60.0,10.175050570886874,0.496027756179398,0.4115695755135477,1.205209971024863,-0.6578844149672125,28.0,0.018543046357615896,4.6728476821192055,0.6578844149672125,0.5768369379385752
20.0,60.0,8.949762975016583,0.4673117327714882,0.4024396887392679,1.1611969342175132,-0.6446149029255501,28.0,0.018543046357615896,4.6728476821192055,0.6446149029255501,0.5407856083562229
10.0,90.0,5.622995307530064,0.37095644042086273,0.3915822415615146,0.9473270262246769,-0.5860296367536769,31.0,0.02052980132450331,5.1735099337748345,0.5860296367536769,0.3370337474837291
